Mem: 124864K used, 108856K free, 0K shrd, 642924K buff, 642968K cached
CPU:  18% usr  72% sys   0% nic   0% idle   0% io   0% irq   9% sirq
Load average: 1.75 1.98 2.01 2/105 1246
PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
969   968 root     S <   199m  87%  73% /usr/bin/cgminer --version-file /usr/bin/compile_time --default-config /config/cgminer.conf -T --syslog
651   647 root     R     2152   1%   9% top -b -n 1
913     1 root     S     3328   1%   0% /usr/bin/ntpd -p /var/run/ntp.pid -g
927     1 root     S     2984   1%   0% /usr/sbin/lighttpd -f /etc/lighttpd.conf
919     1 avahi    S     2860   1%   0% avahi-daemon: running [antMiner-8.local]
920   919 avahi    S     2732   1%   0% avahi-daemon: chroot helper
968     1 root     S     2620   1%   0% {screen} SCREEN -S cgminer -t cgminer -m -d /usr/bin/cgminer --version-file /usr/bin/compile_time --default-config /config/cgminer.conf -T --syslog
982     1 root     S     2152   1%   0% {monitorcg} /bin/sh /sbin/monitorcg
713     1 root     S     2152   1%   0% /sbin/syslogd -n -O /var/log/messages
717     1 root     S     2152   1%   0% /sbin/klogd -n
647   927 root     S     2152   1%   0% /bin/sh /www/pages/cgi-bin/monitor.cgi
652   647 root     S     2152   1%   0% /bin/sh /www/pages/cgi-bin/monitor.cgi
905     1 root     S     2152   1%   0% udhcpc -b -t 10 -A 10 -x hostname antMiner -i eth0
28145   982 root     S     2020   1%   0% sleep 20s
980     1 root     S     1912   1%   0% /sbin/getty 115200 ttyPS0
981     1 root     S     1912   1%   0% /sbin/getty 38400 tty1
1     0 root     S     1656   1%   0% init [5]
685     1 root     S     1640   1%   0% /usr/bin/monitor-ipsig
970     1 root     S     1636   1%   0% /usr/bin/monitor-recobtn /usr/bin/factory_config_reset.sh
3     2 root     SW       0   0%   0% [ksoftirqd/0]
7     2 root     SW       0   0%   0% [rcu_preempt]
6     2 root     SW       0   0%   0% [kworker/u4:0]
59     2 root     SW       0   0%   0% [kworker/0:1]
18     2 root     SW       0   0%   0% [kworker/u4:1]
2     0 root     SW       0   0%   0% [kthreadd]
4     2 root     SW       0   0%   0% [kworker/0:0]
5     2 root     SW<      0   0%   0% [kworker/0:0H]
8     2 root     SW       0   0%   0% [rcu_sched]
9     2 root     SW       0   0%   0% [rcu_bh]
10     2 root     SW       0   0%   0% [migration/0]
11     2 root     SW       0   0%   0% [cpuhp/0]
12     2 root     SW       0   0%   0% [cpuhp/1]
13     2 root     SW       0   0%   0% [migration/1]
14     2 root     SW       0   0%   0% [ksoftirqd/1]
15     2 root     SW       0   0%   0% [kworker/1:0]
16     2 root     SW<      0   0%   0% [kworker/1:0H]
17     2 root     SW       0   0%   0% [kdevtmpfs]
253     2 root     SW       0   0%   0% [oom_reaper]
254     2 root     SW<      0   0%   0% [writeback]
256     2 root     SW<      0   0%   0% [crypto]
257     2 root     SW<      0   0%   0% [bioset]
259     2 root     SW<      0   0%   0% [kblockd]
288     2 root     SW<      0   0%   0% [edac-poller]
300     2 root     SW<      0   0%   0% [watchdogd]
384     2 root     SW<      0   0%   0% [rpciod]
398     2 root     SW       0   0%   0% [kswapd0]
399     2 root     SW<      0   0%   0% [vmstat]
400     2 root     SW<      0   0%   0% [nfsiod]
433     2 root     SW<      0   0%   0% [bioset]
434     2 root     SW<      0   0%   0% [bioset]
435     2 root     SW<      0   0%   0% [bioset]
436     2 root     SW<      0   0%   0% [bioset]
437     2 root     SW<      0   0%   0% [bioset]
438     2 root     SW<      0   0%   0% [bioset]
439     2 root     SW<      0   0%   0% [bioset]
440     2 root     SW<      0   0%   0% [bioset]
441     2 root     SW<      0   0%   0% [bioset]
442     2 root     SW<      0   0%   0% [bioset]
443     2 root     SW<      0   0%   0% [bioset]
444     2 root     SW<      0   0%   0% [bioset]
445     2 root     SW<      0   0%   0% [bioset]
446     2 root     SW<      0   0%   0% [bioset]
447     2 root     SW<      0   0%   0% [bioset]
448     2 root     SW<      0   0%   0% [bioset]
482     2 root     SW<      0   0%   0% [bioset]
485     2 root     SW<      0   0%   0% [bioset]
487     2 root     SW<      0   0%   0% [bioset]
490     2 root     SW<      0   0%   0% [bioset]
493     2 root     SW<      0   0%   0% [bioset]
496     2 root     SW<      0   0%   0% [bioset]
499     2 root     SW<      0   0%   0% [bioset]
502     2 root     SW<      0   0%   0% [bioset]
577     2 root     SW<      0   0%   0% [kpsmoused]
602     2 root     SW       0   0%   0% [irq/155-mmc0]
618     2 root     SW<      0   0%   0% [bioset]
623     2 root     SW<      0   0%   0% [bioset]
628     2 root     SW<      0   0%   0% [bioset]
633     2 root     SW<      0   0%   0% [bioset]
638     2 root     SW<      0   0%   0% [bioset]
650     2 root     SW<      0   0%   0% [ipv6_addrconf]
658     2 root     SW<      0   0%   0% [deferwq]
662     2 root     SW<      0   0%   0% [ext4-rsv-conver]
705     2 root     SWN      0   0%   0% [jffs2_gcd_mtd2]
